,cap,Prediction,real
231.821,1.100507625,,
236.686,1.1008125,,
238.759,1.10025225,,
243.389,1.099931625,,
248.276,1.099627875,,
253.163,1.09930725,,
254.46,1.098891,,
255.728,1.099323,,
260.358,1.0990035,,
266.268,1.098795375,,
271.154,1.098491625,,
274.76,1.098122625,,
281.437,1.097978625,,
287.346,1.0977705,,
290.952,1.097402625,,
295.838,1.097098875,,
301.236,1.096842375,,
305.354,1.096506,,
313.562,1.096601625,,
315.116,1.0961865,,
317.94,1.096169625,,
319.751,1.095753375,,
325.661,1.0955295,,
331.06,1.0952415,,
336.459,1.0949535,,
342.369,1.09471275,,
347,1.0943775,,
353.422,1.094200875,,
357.796,1.0938645,,
363.707,1.093624875,,
369.617,1.093401,,
373.478,1.093048875,,
379.644,1.0928565,,
381.712,1.09244025,,
382.476,1.09258425,,
387.619,1.09229625,,
393.273,1.09203975,,
394.066,1.091399625,,
398.416,1.091736,,
400.9,1.45539,,
401.864,1.4551665,,
401.867,,1.459020354,1.455204
401.869,,1.463921545,1.4552415
401.872,,1.467715917,1.455279
401.875,,1.46925452,1.4553165
401.878,,1.468689178,1.455354
401.88,,1.467026738,1.4553915
402.842,,1.465374884,1.455129
402.844,,1.464404357,1.4551665
402.847,,1.464218991,1.455204
402.85,,1.464542341,1.4552415
402.852,,1.465006581,1.455279
402.855,,1.46536178,1.4553165
402.858,,1.465534954,1.455354
403.819,,1.465578519,1.4550915
403.822,,1.465581426,1.455129
403.825,,1.465605161,1.4551665
403.827,,1.46566452,1.455204
403.83,,1.465741539,1.4552415
403.833,,1.465810617,1.455279
409.725,,1.465856481,1.4549865
416.402,,1.465878524,1.4547945
418.982,,1.465885467,1.4542605
419.254,,1.465887766,1.4536845
421.287,,1.465892019,1.4544105
426.43,,1.465899439,1.454004
432.341,,1.465908464,1.4536845
438.507,,1.465916578,1.453407
442.369,,1.465922479,1.4529375
449.298,,1.465926037,1.452894
451.879,,1.465928077,1.4523615
458.808,,1.465929639,1.452318
462.158,,1.465931244,1.4518065
469.088,,1.465932936,1.451721
473.206,,1.465934629,1.4512725
479.117,,1.465936147,1.4509515
482.969,,1.465937232,1.450845
485.027,,1.465938013,1.450653
488.368,,1.465938664,1.450461
494.789,,1.465939185,1.450227
500.188,,1.465939402,1.449864
