time,ESR,Prediction,real
963.793,1.0438447,,
967.943,1.043909,,
970.491,1.043972,,
978.466,1.0440198,,
983.573,1.0440733,,
988.03,1.0441465,,
991.53,1.0442098,,
997.596,1.0443059,,
1001.1,1.0444127,,
1007.47,1.0444984,,
1010.34,1.3928,,
1010.59,1.393706667,,
1011.7,1.393773333,,
1012.81,1.393773333,,
1013.92,1.393773333,,
1015.02,1.393826667,,
1015.44,1.392880133,,
1016.13,1.393893333,,
1017.24,1.393893333,,
1018.35,1.39396,,
1019.46,,1.3983562,1.39396
1019.46,,1.399230005,1.394026667
1020.57,,1.400221509,1.394026667
1020.57,,1.400967683,1.394026667
1023.1,,1.401485681,1.3930532
1029.16,,1.401707513,1.393173333
